Name,# First name,# Last name
אוגוסטו,0,0
אוגוסטינוס,0,0
אוגיאס,0,0
אוגינץ,0,1
אוגניוק,0,0
אודיה,3,0
אודיז,0,1
אודליה,14,0
אודם,0,0
אודנדל,0,0
אודנהיימר,0,0
אודס,0,1
אודרברג,0,3
אודרי,1,0
אוהב,0,0
אוו,0,0
אוואט,0,0
אווה,1,0
אוולין,1,0
אוונס,0,0
אוורבוך,0,0
אוורטון,0,0
אווריסט,0,0
אוזדין,0,1
אוזון,0,2
אוזי,0,0
אוזלבו,0,1
אוזן,0,5
אוזנה,0,1
אוזרקובסקי,0,1
אוחיון,0,17
אוחנה,0,23
אוחנונה,0,0
אוטו,0,0
אוטמר,0,0
אוטן,0,0
אויגן,0,0
אוירבך,0,3
אוירו,0,0
אולארצ'יק,0,0
אולברייט,0,0
אולבריכט,0,0
אולג,0,0
אולגה,15,0
אולד,0,1
אולה,0,0
אולוף,0,0
אוליאל,0,13
אוליביה,1,0
אוליבר,1,0
אולימפיאקוס,0,0
אולין,0,0
אוליקר,0,0
אולמן,0,3
אולמרט,0,1
אולניק,0,1
אולפור,0,0
אולפן,0,2
אולשביצקי,0,4
אולשיצקי,0,0
אולשן,0,0
אומא,0,0
אומברטו,0,0
אומה,0,0
אומיאל,0,0
אומיד,0,2
אומיה,1,0
אומיימ,0,0
אומימה,1,0
אומר,1,0
אונאסיס,0,0
אונג,0,0
אונגר,0,8
אונדסט,0,0
אונה,0,0
אונונה,0,2
אונטרמן,0,0
אוסאמה,21,0
אוסדטשר,0,3
אוסדיטשר,0,1
אוסוביצקי,0,0
אוסוואלד,0,0
אוסטיי,0,1
אוסטפלד,0,1
אוסטר,0,3
אוסטרובסקי,0,3
אוסטרובר,0,1
אוסטרייכר,0,1
אוסטרמן,0,0
אוסטרץ',0,0
אוסטשינסקי,0,1
אוסי,0,0
אוסיין,0,0
אוסילה,0,0
אוסיפ,0,0
אוסישקין,0,3
אוסלנדר,0,3
אוסלקה,0,2
אוסם,1,0
אוסמה,1,0
אוסמו,0,2
אוסמנה,0,0
אוסנת,6,0
אוסקר,0,1
אופירה,5,0
אופלטקה,0,2
אופנהיים,0,3
אופנהיימר,0,1
אופניק,0,0
אופרה,0,0
אופריכט,0,2
אוצרי,0,2
אוקאם,0,0
אוקונור,0,0
אוקטביו,0,0
אוקטביוס,0,0
אוקלידס,0,0
אוקס,0,1
אוקסנה,0,0
אורבוך,0,2
אורבנד,0,1
אורגד,0,2
אורגיל,0,4
אורדו,0,1
אורדלוב,0,1
אורדן,0,1
אורה,6,0
אורהאן,0,0
אורזל,0,1
אורחן,0,0
אורטגה,0,0
אורטנר,0,0
אוריאל,34,0
אוריאלה,0,0
אוריאן,2,0
אוריאנה,0,0
אוריהו,0,0
אוריון,0,5
אורינג,0,1
אורינגר,0,2
אוריסתאוס,0,0
אוריפידס,0,0
אורית,87,0
אורלב,0,2
אורלובסק,0,0
אורליאן,0,0
אורליאנוס,0,0
אורליוס,0,0
אורלית,0,0
אורלנד,0,0
אורלנסקי,0,7
אורם,0,1
אורמן,0,2
אורנה,49,0
אורנים,0,1
אורנית,4,0
אורנן,0,0
אורנשטיין,0,14
אורנת'ל,0,0
אורסון,0,0
אורעד,0,1
אורפז,0,0
אורצקי,0,1
אורקה,0,0
אורשלם,0,4
אושי,0,0
אושיק,5,0
אושעיה,0,1
אושר,4,0
אושרוב,0,3
אושרי,9,0
אושריה,1,0
אושרית,10,0
אז'ן,0,0
אזאלי,0,0
אזברגה,0,5
אזואלוס,0,1
אזוגי,0,3
אזולאי,0,44
אזחימאן,0,1
אזני,0,1
אזר,0,1
אזרד,0,3
אזרחי,0,6
אזריק,0,1
אזרן,0,1
אחא,0,0
אחאב,0,0
אחאי,0,0
אחוה,6,0
אחווה,0,0
אחוות,0,0
אחז,5,0
אחזיה,0,0
אחזיהו,0,0
אחטר,0,0
אחי,0,0
אחיאב,0,0
אחיאל,1,0
אחיאסף,0,0
אחיהו,0,0
אחיהוד,0,0
אחיהון,0,1
אחיטוב,0,0
אחימן,0,0
אחינדב,0,0
אחינועם,0,0
אחיעזר,0,0
אחיעם,0,0
אחיקם,6,0
אחירם,0,0
אחישחר,0,0
אחמדייב,0,0
אחמט,0,0
אחסאן,5,0
אטדגי,0,0
אטון,0,1
אטורה,0,0
אטי,6,0
אטיאס,0,25
אטיה,0,0
אטיין,0,0
אטילה,0,0
אטינגר,0,5
אטלי,0,1
אטלס,0,5
אטקס,0,0
אטראד,0,2
אטרש,0,1
אי,0,0
איאד,31,0
איאל,1,0
איאן,0,1
איאס,1,0
איבגי,0,5
איבו,0,0
איבי,0,1
איביצה,0,0
איבן,0,0
איבנובה,0,1
איבסן,0,0
איבצן,0,10
איבראהים,5,0
איבתיסם,1,0
איג,0,0
איגור,6,0
איגי,0,0
איגנץ,0,0
איגר,0,0
איגרס,0,0
אידו,0,0
אידי,0,0
אידיסיס,0,0
אידית,3,0
אידל,0,1
אידלמן,0,5
אידלסון,0,0
אידריס,0,0
איה,12,0
איהאב,35,0
איוו,0,0
איוואן,0,0
איוון,0,0
איווניר,0,0
איוס,0,1
איזבל,1,0
איזבלה,0,0
איזוריס,1,0
איזי,0,0
איזיק,0,2
איזמן,0,1
איזנברג,0,6
איזנפלד,0,3
איזנר,0,2
איזנש,0,0
איזקסון,0,5
איטה,1,0
איטון,0,0
איטח,0,4
איטי,1,0
איטל,1,0
איטלו,0,0
איטן,0,1
אייבי,0,0
איידור,0,0
איידלברג,0,1
איידן,0,1
אייזדורפר,0,0
אייזיאה,0,0
אייזן,0,3
אייזנברג,0,3
אייזנטל,0,0
אייזנמן,0,1
אייזנקוט,0,1
אייזנר,0,0
אייזק,0,0
אייכל,0,1
איילה,6,0
איילונה,0,0
איימאן,0,0
איימי,1,0
איימליאנוס,0,0
איימן,6,0
איימצט,0,4
איין,0,0
איינדה,0,0
איינהורן,0,0
איינס,0,1
אייס,0,0
אייסכילוס,0,0
איירין,0,0
אייש,0,0
איכבום,0,1
איכילוב,0,0
אילה,14,0
אילהם,0,0
אילוביץ,0,4
אילוז,0,3
אילוטוביץ,0,0
אילונה,0,0
אילוק,0,0
איליא,4,0
איליי,0,0
אילין,0,1
אילינה,2,0
איליץ',0,0
אילישקה,0,1
אילנה,38,0
אילנור,0,0
אילני,0,1
אילניה,0,0
אילנית,20,0
אימברג,0,1
אימלדה,0,0
אימן,24,0
אימרגליק,0,0
אינאס,1,0
אינגבר,0,2
אינגה,0,0
אינגמר,0,0
אינגר,0,0
אינגריד,4,0
אינדורסקי,0,3
אינדזיאשויל,0,0
אינדיג,0,3
אינדירה,0,0
אינה,1,0
אינהורן,0,3
אינוך,0,0
אינוקנטיוס,0,0
איניאס,0,0
אינס,1,0
אינסה,1,0
אינסל,0,2
אינסלר,0,1
אינעאם,0,0
אינפלד,0,0
איסאק,0,0
איסטמן,0,0
איסמאעיל,0,0
איסמן,0,1
איסמעיל,0,0
איסן,0,2
איסק,2,0
איסר,3,0
איפוור,0,0
איפרגן,0,4
איציק,7,0
איצקוביץ,0,3
איצקוביץ',0,0
איקו,0,4
איקר,0,0
אירה,4,0
אירווין,0,0
אירווינג,0,0
אירינה,8,0
איריס,211,0
אירם,2,0
אירמה,0,0
אירן,1,0
אירנה,11,0
אירני,0,1
אירקלי,0,0
איש,0,0
אישאם,0,0
אישטוון,0,0
איתי,99,0
איתיאל,2,0
איתנה,1,0
איתני,0,1
אכבר,0,0
אכרם,5,0
אכתילאת,0,6
אל,0,8
אלאגבאלוס,0,0
אלאלוף,0,3
אלאן,0,0
אלאסד,0,1
אלבאום,0,1
אלבארו,0,0
אלבו,0,2
אלבוים,0,5
אלבוס,0,0
אלבז,0,11
אלבי,0,0
אלביליה,0,2
אלבינצר,0,1
אלביס,0,0
אלביץ,0,1
אלביק,0,0
אלביר,0,2
אלבס,0,0
אלבראנס,0,1
אלברו,0,0
אלברטו,8,0
אלברטי,0,0
אלברק,0,3
אלברשטיין,0,0
אלג'אבר,0,1
אלגאלי,0,2
אלגאפר,0,1
אלגוב,0,1
אלגום,0,1
אלגז,0,3
אלגירדס,0,0
אלגנ,0,0
אלגרבלי,0,1
אלגרינאוי,0,0
אלד,0,0
אלדו,0,0
אלדוס,0,0
אלדור,0,5
אלדורוטי,0,1
אלדי,0,0
אלדין,0,6
אלדמע,0,0
אלדן,0,9
אלדע,0,0
אלהאדי,0,2
אלהדי,2,0
אלהוא,0,1
אלהואשלה,0,1
אלהוזייל,0,1
אלהיג'א,0,5
אלהיגא,0,1
אלהרר,0,0
אלואז,10,0
אלוביק,0,1
אלוג,0,1
אלוהבאני,0,2
אלווין,0,0
אלוורז,0,0
אלויה,0,1
אלול,0,1
אלומה,0,0
אלונה,9,0
אלונזו,0,0
אלוני,0,18
אלוף,0,0
אלופי,0,1
אלוש,0,4
אלזה,0,0
אלזיאדנה,0,1
אלזם,0,2
אלזרע,0,2
אלחאג',0,1
אלחאן,0,0
אלחג'וג,0,1
אלחדף,0,0
אלחות,0,0
אלחי,0,1
אלחכים,0,0
אלחלילי,0,1
אלחלים,0,4
אלחנדרו,0,0
אלחנן,8,0
אלחנני,0,3
אלחק,0,1
אלחרט,0,1
אלחריזי,0,1
אלחרר,0,3
אלט,0,0
אלטוביה,0,0
אלטוחי,0,1
